Designator,Mid X,Mid Y,Layer,Rotation
R169,156.65mm,-83.55mm,top,90.0
U70,168.7mm,-88.0mm,top,0.0
R70,164.9mm,-83.6mm,top,90.0
L70,171.9mm,-83.6mm,top,0.0
D70,171.3mm,-92.2mm,top,180.0
C70,164.7mm,-92.2mm,top,90.0
R170,168.65mm,-83.55mm,top,90.0
U71,180.7mm,-88.0mm,top,0.0
R71,176.9mm,-83.6mm,top,90.0
L71,183.9mm,-83.6mm,top,0.0
D71,183.3mm,-92.2mm,top,180.0
C71,176.7mm,-92.2mm,top,90.0
R171,180.65mm,-83.55mm,top,90.0
U72,192.7mm,-88.0mm,top,0.0
R72,188.9mm,-83.6mm,top,90.0
L72,195.9mm,-83.6mm,top,0.0
D72,195.3mm,-92.2mm,top,180.0
C72,188.7mm,-92.2mm,top,90.0
R172,192.65mm,-83.55mm,top,90.0
U73,60.7mm,-102.0mm,top,0.0
R73,56.9mm,-97.6mm,top,90.0
L73,63.9mm,-97.6mm,top,0.0
D73,63.3mm,-106.2mm,top,180.0
C73,56.7mm,-106.2mm,top,90.0
R173,60.65mm,-97.55mm,top,90.0
U74,72.7mm,-102.0mm,top,0.0
R74,68.9mm,-97.6mm,top,90.0
L74,75.9mm,-97.6mm,top,0.0
D74,75.3mm,-106.2mm,top,180.0
C74,68.7mm,-106.2mm,top,90.0
R174,72.65mm,-97.55mm,top,90.0
U75,84.7mm,-102.0mm,top,0.0
R75,80.9mm,-97.6mm,top,90.0
L75,87.9mm,-97.6mm,top,0.0
D75,87.3mm,-106.2mm,top,180.0
C75,80.7mm,-106.2mm,top,90.0
R175,84.65mm,-97.55mm,top,90.0
U76,96.7mm,-102.0mm,top,0.0
R76,92.9mm,-97.6mm,top,90.0
L76,99.9mm,-97.6mm,top,0.0
D76,99.3mm,-106.2mm,top,180.0
C76,92.7mm,-106.2mm,top,90.0
R176,96.65mm,-97.55mm,top,90.0
U77,108.7mm,-102.0mm,top,0.0
R77,104.9mm,-97.6mm,top,90.0
L77,111.9mm,-97.6mm,top,0.0
D77,111.3mm,-106.2mm,top,180.0
C77,104.7mm,-106.2mm,top,90.0
R177,108.65mm,-97.55mm,top,90.0
U78,120.7mm,-102.0mm,top,0.0
R78,116.9mm,-97.6mm,top,90.0
L78,123.9mm,-97.6mm,top,0.0
D78,123.3mm,-106.2mm,top,180.0
C78,116.7mm,-106.2mm,top,90.0
R178,120.65mm,-97.55mm,top,90.0
U79,132.7mm,-102.0mm,top,0.0
R79,128.9mm,-97.6mm,top,90.0
L79,135.9mm,-97.6mm,top,0.0
D79,135.3mm,-106.2mm,top,180.0
C79,128.7mm,-106.2mm,top,90.0
R179,132.65mm,-97.55mm,top,90.0
U80,144.7mm,-102.0mm,top,0.0
R80,140.9mm,-97.6mm,top,90.0
L80,147.9mm,-97.6mm,top,0.0
D80,147.3mm,-106.2mm,top,180.0
C80,140.7mm,-106.2mm,top,90.0
R180,144.65mm,-97.55mm,top,90.0
U81,156.7mm,-102.0mm,top,0.0
R81,152.9mm,-97.6mm,top,90.0
L81,159.9mm,-97.6mm,top,0.0
D81,159.3mm,-106.2mm,top,180.0
C81,152.7mm,-106.2mm,top,90.0
R181,156.65mm,-97.55mm,top,90.0
U82,168.7mm,-102.0mm,top,0.0
R82,164.9mm,-97.6mm,top,90.0
L82,171.9mm,-97.6mm,top,0.0
D82,171.3mm,-106.2mm,top,180.0
C82,164.7mm,-106.2mm,top,90.0
R182,168.65mm,-97.55mm,top,90.0
U83,180.7mm,-102.0mm,top,0.0
R83,176.9mm,-97.6mm,top,90.0
L83,183.9mm,-97.6mm,top,0.0
D83,183.3mm,-106.2mm,top,180.0
C83,176.7mm,-106.2mm,top,90.0
R183,180.65mm,-97.55mm,top,90.0
U84,192.7mm,-102.0mm,top,0.0
R84,188.9mm,-97.6mm,top,90.0
L84,195.9mm,-97.6mm,top,0.0
D84,195.3mm,-106.2mm,top,180.0
C84,188.7mm,-106.2mm,top,90.0
R184,192.65mm,-97.55mm,top,90.0
U85,60.7mm,-116.0mm,top,0.0
R85,56.9mm,-111.6mm,top,90.0
L85,63.9mm,-111.6mm,top,0.0
D85,63.3mm,-120.2mm,top,180.0
